id,strategy_id,strategy_name,symbol,level,level_type,level_side,entry_signal,strength_at_entry,p_bounce_at_entry,expected_depth_at_entry,approach_style,vol_ratio_at_entry,atr_at_entry,entry_price,entry_time,entry_time_dt,position_size,direction,grid_fill_count,max_favorable_pct,max_adverse_pct,exit_price,exit_time,exit_time_dt,exit_reason,pnl_pct,pnl_usdt,duration_minutes,status,created_at,created_at_dt,updated_at,updated_at_dt,post_exit_high_30m,post_exit_low_30m,post_exit_tracked_until,post_exit_tracked_until_dt
480,2,limit_grid,STGUSDT,0.63588,body_level,support,proximity,5,0.846,0.85,unknown,0.99,0.007214285714285689,0.63683382,1781249959.7292635,2026-06-12 10:39:19,200.0,long,1,2.412902631333243,0.0,0.653446515,1781250039.618197,2026-06-12 10:40:39,trailing_stop,2.608639,0.5217,1.33,closed,1781249959.729385,2026-06-12 10:39:19,1781251839.7744281,2026-06-12 11:10:39,0.6693,0.6343,1781251839.774,2026-06-12 11:10:39
481,2,limit_grid,VELVETUSDT,1.6664,body_level,support,proximity,4,0.706,0.99,flash,1.08,0.05471214285714291,1.60050942,1781251862.005166,2026-06-12 11:11:02,200.0,long,10,0.6079158373190089,4.791218834475544,1.54553,1781252336.195486,2026-06-12 11:18:56,stop_loss,-3.43512,-6.8702,7.9,closed,1781251862.0052414,2026-06-12 11:11:02,1781254136.3319457,2026-06-12 11:48:56,1.79318,1.51599,1781254136.332,2026-06-12 11:48:56
482,2,limit_grid,VELVETUSDT,1.6664,body_level,support,proximity,4,0.706,0.99,unknown,0.85,0.020745000000000013,1.64296835,1781252849.341933,2026-06-12 11:27:29,200.0,long,10,0.0,1.6670667306769165,1.63862,1781252854.8483102,2026-06-12 11:27:34,stop_loss,-0.264664,-0.5293,0.09,closed,1781252849.342011,2026-06-12 11:27:29,1781254655.0528984,2026-06-12 11:57:35,1.79318,1.60945,1781254655.053,2026-06-12 11:57:35
483,2,limit_grid,HMSTRUSDT,0.00035233,body_level,support,proximity,5,0.862,0.74,flash,1.37,6.614285714285728e-06,0.00034735,1781259770.405596,2026-06-12 13:22:50,200.0,long,7,0.7198322280791363,2.794309357818962,0.000357885,1781259818.650624,2026-06-12 13:23:38,trailing_stop,3.032964,4.2461,0.8,closed,1781259770.405695,2026-06-12 13:22:50,1781259818.650624,2026-06-12 13:23:38,,,,
484,1,bounce,HMSTRUSDT,0.00035233,body_level,support,bounce,5,0.862,0.74,flash,0.03,4.050000000000013e-06,0.0003549,1781259786.4236014,2026-06-12 13:23:06,100.0,long,,0.0,0.0,0.0003549,1781259787.6388497,2026-06-12 13:23:07,trailing_stop,0.0,0.0,0.02,closed,1781259786.4236062,2026-06-12 13:23:06,1781259787.6388497,2026-06-12 13:23:07,,,,
485,2,limit_grid,AIOUSDT,0.13211,body_level,support,proximity,5,0.944,1.08,unknown,1.25,0.0024807142857142923,0.12989636,1781270768.4515939,2026-06-12 16:26:08,200.0,long,8,3.6980558962545205,3.3194883295035926,0.13418477,1781271290.5287366,2026-06-12 16:34:50,trailing_stop,3.301409,5.2823,8.7,closed,1781270768.4517794,2026-06-12 16:26:08,1781273090.6800048,2026-06-12 17:04:50,0.13722,0.13041,1781273090.68,2026-06-12 17:04:50
486,1,bounce,AIOUSDT,0.13211,body_level,support,bounce,5,0.944,1.08,unknown,0.1,0.0027914285714285836,0.13316,1781270773.6700804,2026-06-12 16:26:13,100.0,long,,0.0,0.0,0.13316,1781270774.8718266,2026-06-12 16:26:14,trailing_stop,0.0,0.0,0.02,closed,1781270773.6700883,2026-06-12 16:26:13,1781272575.054254,2026-06-12 16:56:15,0.13722,0.12703,1781272575.054,2026-06-12 16:56:15
487,2,limit_grid,HMSTRUSDT,0.00025815,consolidation_base,support,proximity,5,0.897,0.91,flash,3.58,3.5999999999999948e-06,0.00025704,1781271958.8269396,2026-06-12 16:45:58,200.0,long,4,0.7941119504164124,0.9050823857043324,0.00026505500000000004,1781272029.637833,2026-06-12 16:47:09,trailing_stop,3.118192,2.4946,1.18,closed,1781271958.8270142,2026-06-12 16:45:58,1781273829.8417141,2026-06-12 17:17:09,0.0002658,0.0002568,1781273829.842,2026-06-12 17:17:09
488,1,bounce,HMSTRUSDT,0.00025815,consolidation_base,support,bounce,5,0.897,0.91,flash,0.18,4.242857142857142e-06,0.000259,1781272031.262806,2026-06-12 16:47:11,100.0,long,,0.0,0.0,0.000259,1781272032.3272557,2026-06-12 16:47:12,trailing_stop,0.0,0.0,0.02,closed,1781272031.2628114,2026-06-12 16:47:11,1781273832.507598,2026-06-12 17:17:12,0.0002658,0.0002568,1781273832.508,2026-06-12 17:17:12
489,2,limit_grid,ESPORTSUSDT,0.27661,body_level,support,proximity,5,0.735,0.8,flash,0.82,0.0037464285714285672,0.27234188,1781276219.6917963,2026-06-12 17:56:59,200.0,long,10,0.0,1.6629912150681638,0.27619509,1781276231.5474439,2026-06-12 17:57:11,full_grid_tp,1.414843,2.8297,0.2,closed,1781276219.691867,2026-06-12 17:56:59,1781278031.722768,2026-06-12 18:27:11,0.28428,0.22,1781278031.723,2026-06-12 18:27:11
